car_name,manufacturing_year,milage,ownership,engine cc,fuel_type,"car_price (JPY 10,000)",auction_house
Subaru Outback,30-May-21,195189 kms,1st owner,2500,Gasoline,16.8,JU Kanagawa
Toyota Prius,14-Feb-98,208429 kms,2nd owner,3500,Electric,6.8,Honda Auto Auction Fukuoka
Honda Accord,24-Aug-95,276461 kms,4th owner,4500,Gasoline,6.8,LAA Kansai
Lexus ES,04-Jan-16,243853 kms,2nd owner,2500,Gasoline,26.8,NTAA Tokyo
Mazda CX-5,30-Jul-91,258774 kms,3rd owner,2500,Hybrid,76.8,GNN Osaka
Subaru Impreza,25-Aug-16,63624 kms,3rd owner,660,Hybrid,46.8,RAA Ryutsu
Lexus ES,13-Jul-06,40955 kms,1st owner,2000,Electric,16.8,HERO Saitama
Toyota Land Cruiser,22-Jun-02,138531 kms,2nd owner,4500,Hybrid,56.8,SAA Sapporo
Daihatsu Hijet,10-Oct-09,50364 kms,2nd owner,660,Diesel,16.8,NTAA Tokyo
Subaru Impreza,24-Dec-98,5866 kms,2nd owner,1500,Electric,6.8,ONAA Osaka
Honda Odyssey,10-Nov-09,294830 kms,3rd owner,2500,Hybrid,76.8,JU Kanagawa
Mazda Demio,07-Oct-96,175104 kms,2nd owner,4000,Electric,16.8,IMA East
Honda CR-V,27-Dec-11,123689 kms,1st owner,1500,Diesel,6.8,HAA Kobe
Nissan Note,19-Mar-98,76284 kms,4th owner,3500,Diesel,16.8,LAA Kansai
Daihatsu Hijet,26-Jan-09,240367 kms,2nd owner,3500,Gasoline,16.8,LAA Kansai
Subaru Impreza,26-Aug-01,232194 kms,3rd owner,4000,Diesel,6.8,SAA Sapporo
Subaru Impreza,08-Jan-97,21711 kms,4th owner,3000,CNG,26.8,HAA Kobe
Mazda RX-7,30-Jun-12,173332 kms,1st owner,3000,CNG,36.8,Honda Auto Auction Fukuoka
Mazda RX-7,04-Oct-00,212085 kms,4th owner,3500,CNG,16.8,KIX Kansai
Daihatsu Mira,17-Apr-16,40366 kms,3rd owner,1500,CNG,16.8,IMA East
Daihatsu Hijet,09-Feb-97,65255 kms,3rd owner,3000,Diesel,36.8,NAA Osaka
Lexus RX,07-May-09,73551 kms,3rd owner,4000,Gasoline,16.8,SMAP Tokyo
Nissan X-Trail,19-Oct-98,170938 kms,1st owner,1500,Hybrid,56.8,SAA Sapporo
Toyota Vitz,05-Dec-13,34355 kms,1st owner,4000,Gasoline,6.8,Honda Auto Auction Fukuoka
Lexus GX,14-Sep-90,198662 kms,2nd owner,3500,Hybrid,56.8,JU Kanagawa
Suzuki Jimny,15-Oct-11,66754 kms,4th owner,3500,CNG,6.8,SAA Sapporo
Toyota Camry,18-Oct-93,145833 kms,1st owner,1500,Diesel,6.8,HAA Kobe
Daihatsu Hijet,22-Apr-14,76328 kms,2nd owner,2000,Diesel,16.8,Honda Auto Auction Fukuoka
Daihatsu Move,03-Feb-21,145937 kms,1st owner,2500,Gasoline,26.8,HAA Kobe
Honda Accord,28-Apr-05,212824 kms,4th owner,1500,Gasoline,16.8,KIX Kansai
Subaru Impreza,20-Mar-12,264483 kms,1st owner,1500,Hybrid,56.8,HAA Kobe
Mazda CX-5,14-Aug-21,238904 kms,1st owner,3000,Hybrid,66.8,SAA Sapporo
Lexus GX,20-Aug-18,234970 kms,3rd owner,1500,Diesel,16.8,Honda Auto Auction Fukuoka
Mazda CX-5,18-Jan-07,231632 kms,1st owner,1500,Electric,6.8,Honda Auto Auction Fukuoka
Suzuki Jimny,11-Aug-12,36974 kms,1st owner,4500,CNG,16.8,KIX Kansai
Lexus ES,15-Dec-08,238606 kms,2nd owner,3500,Electric,16.8,USS Tokyo
Daihatsu Mira,04-Apr-13,235278 kms,2nd owner,1500,Electric,6.8,LAA Kansai
Lexus GX,19-May-93,67531 kms,3rd owner,660,Diesel,6.8,NTAA Tokyo
Toyota Prius,16-Feb-90,276170 kms,4th owner,3500,Gasoline,16.8,HAA Kobe
Daihatsu Move,01-Sep-90,165264 kms,4th owner,4000,CNG,6.8,SMAP Tokyo
Honda Fit,24-Oct-08,186030 kms,1st owner,2000,Hybrid,46.8,NAA Osaka
Mitsubishi Mirage,19-Jul-09,267102 kms,3rd owner,3500,Hybrid,46.8,GAO! Nagoya
Subaru Legacy,27-Oct-09,262055 kms,1st owner,2000,CNG,6.8,JU Kanagawa
Daihatsu Mira,27-Oct-05,197324 kms,3rd owner,2000,Electric,6.8,GAO! Nagoya
Toyota Camry,25-Sep-16,239597 kms,1st owner,3000,CNG,36.8,USS Tokyo
Daihatsu Hijet,28-Nov-02,36075 kms,3rd owner,2500,Gasoline,36.8,GAO! Nagoya
Honda Civic,04-Jan-97,153712 kms,2nd owner,2500,Electric,26.8,SAA Sapporo
Subaru Impreza,24-Dec-96,10425 kms,2nd owner,4000,CNG,6.8,GNN Osaka
Suzuki Swift,16-Jul-02,19041 kms,2nd owner,1500,Gasoline,6.8,JU Kanagawa
Subaru Legacy,20-Sep-14,251604 kms,2nd owner,3500,Electric,6.8,Honda Auto Auction Fukuoka
Mazda Axela,10-Mar-19,78265 kms,4th owner,2000,Hybrid,46.8,USS Tokyo
Toyota Land Cruiser,11-Aug-11,173572 kms,3rd owner,4000,Electric,6.8,KCAA Kyushu
Lexus RX,14-Apr-97,283435 kms,4th owner,4500,Hybrid,46.8,LAA Kansai
Toyota Crown,05-Jan-92,15187 kms,2nd owner,1500,CNG,16.8,HAA Kobe
Mazda CX-5,31-Jan-11,169158 kms,1st owner,1500,Electric,16.8,SMAP Tokyo
Subaru Impreza,26-Nov-16,151910 kms,1st owner,4000,Hybrid,56.8,USS Tokyo
Nissan GTR,06-Sep-08,99056 kms,2nd owner,1500,Gasoline,6.8,GAO! Nagoya
Daihatsu Mira,21-Aug-12,263099 kms,4th owner,2000,CNG,6.8,HERO Saitama
Mazda Demio,09-Jul-01,145402 kms,3rd owner,1500,Electric,6.8,GNN Osaka
Honda Odyssey,17-Apr-08,264262 kms,1st owner,2000,Gasoline,16.8,HERO Saitama
Lexus IS,04-Nov-09,165690 kms,3rd owner,2000,Electric,6.8,LAA Kansai
Subaru BRZ,30-Jul-96,179177 kms,3rd owner,3000,Electric,26.8,ONAA Osaka
Subaru Outback,25-Sep-97,147460 kms,4th owner,3000,Gasoline,26.8,NAA Osaka
Mazda Demio,18-Nov-12,217174 kms,1st owner,4000,CNG,16.8,LAA Kansai
Suzuki Vitara,16-Apr-12,79148 kms,4th owner,2000,Hybrid,56.8,TAA Nagoya
Suzuki Vitara,28-Feb-11,218045 kms,1st owner,2500,Diesel,26.8,GNN Osaka
Suzuki Swift,06-Jun-06,291168 kms,3rd owner,1500,Electric,16.8,NTAA Tokyo
Toyota Corolla,23-Apr-05,207225 kms,4th owner,4000,Gasoline,6.8,JU Kanagawa
Lexus GX,17-Apr-92,156447 kms,2nd owner,1500,Diesel,6.8,IMA East
Subaru Outback,10-Mar-17,26084 kms,3rd owner,2000,Hybrid,46.8,LAA Kansai
Honda Fit,09-Apr-06,6896 kms,1st owner,1500,Electric,6.8,IMA East
Subaru BRZ,30-Nov-11,247161 kms,1st owner,2500,Diesel,26.8,LAA Kansai
Daihatsu Move,25-Apr-11,237676 kms,2nd owner,4500,Diesel,6.8,GNN Osaka
Mitsubishi Mirage,10-Apr-18,191034 kms,3rd owner,1500,Diesel,16.8,GNN Osaka
Honda CR-V,24-Jan-00,137837 kms,3rd owner,3000,Electric,26.8,IMA East
Nissan GTR,03-Sep-09,191770 kms,2nd owner,2500,Electric,36.8,RAA Ryutsu
Lexus IS,06-Dec-90,280091 kms,3rd owner,4000,Gasoline,6.8,GAO! Nagoya
